City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Vilhena,BR,2021-09-17 04:01:36,-12.7406,-60.1458,71.15,73,8,1.34,clear sky,0,0
1,Busselton,AU,2021-09-17 04:06:32,-33.65,115.3333,59.04,57,70,12.46,broken clouds,0,0
2,Khatanga,RU,2021-09-17 04:06:52,71.9667,102.5,34.03,77,100,6.87,overcast clouds,0,0
3,Kodiak,US,2021-09-17 04:06:53,57.79,-152.4072,51.31,87,90,13.8,light rain,0,0
4,Vaini,TO,2021-09-17 04:07:03,-21.2,-175.2,80.76,89,20,5.75,few clouds,0,0
5,Sucre,BO,2021-09-17 04:03:01,-19.0333,-65.2627,54.05,80,100,7.34,overcast clouds,0,0
6,Paraopeba,BR,2021-09-17 04:07:04,-19.2757,-44.4033,72.75,55,41,11.14,scattered clouds,0,0
7,Bacolod,PH,2021-09-17 04:05:04,10.6667,122.95,81.73,82,100,2.42,overcast clouds,0,0
8,Mataura,NZ,2021-09-17 04:07:05,-46.1927,168.8643,46.47,49,56,5.99,broken clouds,0,0
9,Barrow,US,2021-09-17 04:07:06,71.2906,-156.7887,35.62,87,90,8.05,light rain,0,0
10,Najran,SA,2021-09-17 04:07:07,17.4924,44.1277,78.42,19,7,4.27,clear sky,0,0
11,Puerto Ayora,EC,2021-09-17 04:07:08,-0.7393,-90.3518,67.55,95,56,5.99,broken clouds,0,0
12,San Cristobal,VE,2021-09-17 04:07:09,7.7669,-72.225,64.62,97,74,3.13,broken clouds,0,0
13,Vardo,NO,2021-09-17 04:07:10,70.3705,31.1107,41.2,68,62,10.98,broken clouds,0,0
14,Salinopolis,BR,2021-09-17 04:07:10,-0.6136,-47.3561,78.13,85,4,6.35,clear sky,0,0
15,Carballo,ES,2021-09-17 04:07:11,43.213,-8.691,58.91,84,26,3.53,scattered clouds,0,0
16,Bluff,NZ,2021-09-17 04:07:11,-46.6,168.3333,46.8,57,56,18.66,broken clouds,0,0
17,Saskylakh,RU,2021-09-17 04:07:12,71.9167,114.0833,34.54,97,100,18.72,light rain,0,0
18,Esperance,AU,2021-09-17 04:07:12,-33.8667,121.9,53.44,73,85,20.51,overcast clouds,0,0
19,Tuktoyaktuk,CA,2021-09-17 04:07:13,69.4541,-133.0374,45.73,77,32,15.99,scattered clouds,0,0
20,Upernavik,GL,2021-09-17 04:07:13,72.7868,-56.1549,25.21,65,100,5.1,overcast clouds,0,0
21,Klaksvik,FO,2021-09-17 04:07:14,62.2266,-6.589,54.52,97,100,27.83,overcast clouds,0,0
22,Kavaratti,IN,2021-09-17 04:07:14,10.5669,72.642,81.93,77,95,12.5,overcast clouds,0,0
23,Isangel,VU,2021-09-17 04:07:15,-19.55,169.2667,72.61,82,84,12.41,broken clouds,0,0
24,Shimoda,JP,2021-09-17 04:07:15,34.6667,138.95,72.75,84,100,4.9,light rain,0,0
25,Saint-Paul,RE,2021-09-17 04:07:16,-21.0096,55.2707,75.74,72,3,4.14,clear sky,0,0
26,Kasongo-Lunda,CD,2021-09-17 04:07:16,-6.4667,16.8167,71.87,91,100,0.63,overcast clouds,0,0
27,Brus Laguna,HN,2021-09-17 04:07:17,15.75,-84.4833,76.5,93,43,4.12,scattered clouds,0,0
28,Port Alfred,ZA,2021-09-17 04:07:17,-33.5906,26.891,55.29,70,66,17.69,light rain,0,0
29,Rikitea,PF,2021-09-17 04:07:19,-23.1203,-134.9692,74.21,70,0,11.41,clear sky,0,0
30,Haines Junction,CA,2021-09-17 04:07:19,60.7522,-137.5108,40.53,77,98,3.67,overcast clouds,0,0
31,Punta Arenas,CL,2021-09-17 04:07:20,-53.15,-70.9167,35.71,100,90,6.91,overcast clouds,0,0
32,Carnarvon,AU,2021-09-17 04:07:20,-24.8667,113.6333,71.67,28,0,19.57,clear sky,0,0
33,Albany,US,2021-09-17 04:02:48,42.6001,-73.9662,68.09,90,65,3.69,broken clouds,0,0
34,Batamshinskiy,KZ,2021-09-17 04:07:21,50.5594,58.2747,48.0,56,68,16.35,broken clouds,0,0
35,Luderitz,NA,2021-09-17 04:07:21,-26.6481,15.1594,61.59,37,4,9.35,clear sky,0,0
36,Mlimba,TZ,2021-09-17 04:07:22,-8.8,35.8167,70.88,78,9,2.53,clear sky,0,0
37,Labuhan,ID,2021-09-17 04:07:22,-6.8844,112.2051,88.59,58,2,7.9,clear sky,0,0
