City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,Saint Anthony,US,2021-09-15 16:29:19,45.0205,-93.218,73.92,52,1,5.01,clear sky,0,0
55,Razgrad,BG,2021-09-15 16:29:19,43.5333,26.5167,74.8,43,75,7.38,broken clouds,0,0
56,Coquimbo,CL,2021-09-15 16:29:20,-29.9533,-71.3436,58.73,67,0,10.36,clear sky,0,0
57,Bodden Town,KY,2021-09-15 16:29:20,19.2833,-81.25,88.99,71,40,3.0,scattered clouds,0,0
58,Bose,IT,2021-09-15 16:29:21,45.4612,8.0137,73.2,81,96,3.02,overcast clouds,0,0
59,Nieuw Amsterdam,SR,2021-09-15 16:29:21,5.8833,-55.0833,94.01,61,40,5.75,scattered clouds,0,0
60,Saint George,US,2021-09-15 16:29:21,37.1041,-113.5841,91.54,20,1,0.0,clear sky,0,0
61,Khatanga,RU,2021-09-15 16:25:25,71.9667,102.5,42.76,87,100,8.39,overcast clouds,0,0
62,Jiexiu,CN,2021-09-15 16:29:22,37.0244,111.9125,69.8,67,48,6.08,scattered clouds,0,0
63,Lebu,CL,2021-09-15 16:29:22,-37.6167,-73.65,53.11,67,1,5.59,clear sky,0,0
64,Krasnoselkup,RU,2021-09-15 16:29:23,65.7,82.4667,39.94,91,100,2.01,overcast clouds,0,0
65,Sola,VU,2021-09-15 16:29:23,-13.8833,167.55,78.4,78,19,6.73,few clouds,0,0
66,San Ramon,US,2021-09-15 16:29:23,37.7799,-121.978,66.31,78,20,5.01,few clouds,0,0
67,Aklavik,CA,2021-09-15 16:29:24,68.2191,-135.0107,43.52,74,75,5.06,broken clouds,0,0
68,Nadvoitsy,RU,2021-09-15 16:29:24,63.8667,34.3167,43.32,76,100,10.2,overcast clouds,0,0
69,Dikson,RU,2021-09-15 16:29:24,73.5069,80.5464,38.55,92,100,27.04,overcast clouds,0,0
70,Nanortalik,GL,2021-09-15 16:29:25,60.1432,-45.2371,40.62,70,1,4.14,clear sky,0,0
71,Grindavik,IS,2021-09-15 16:29:25,63.8424,-22.4338,57.15,71,75,12.66,broken clouds,0,0
72,Longyearbyen,SJ,2021-09-15 16:29:26,78.2186,15.6401,33.64,75,20,4.61,few clouds,0,0
73,Sitka,US,2021-09-15 16:29:26,57.0531,-135.33,48.09,93,75,6.91,light rain,0,0
74,Nisia Floresta,BR,2021-09-15 16:29:26,-6.0911,-35.2086,83.21,55,43,15.48,scattered clouds,0,0
75,Cabinda,AO,2021-09-15 16:29:27,-5.55,12.2,78.94,78,75,6.91,broken clouds,0,0
76,Bumba,CD,2021-09-15 16:29:27,2.1833,22.4667,82.45,64,17,2.3,few clouds,0,0
77,Chalmette,US,2021-09-15 16:29:27,29.9427,-89.9634,80.6,82,90,5.01,mist,0,0
78,Ixtapa,MX,2021-09-15 16:29:09,20.7,-105.2,81.23,83,75,2.3,broken clouds,0,0
79,Aragarcas,BR,2021-09-15 16:29:28,-15.8975,-52.2508,104.74,10,30,8.39,scattered clouds,0,0
80,Hilo,US,2021-09-15 16:29:28,19.7297,-155.09,80.28,68,20,8.05,few clouds,0,0
81,Bengkulu,ID,2021-09-15 16:29:29,-3.8004,102.2655,77.18,89,17,6.55,heavy intensity rain,0,0
82,Barrow,US,2021-09-15 16:29:29,71.2906,-156.7887,37.42,87,90,11.5,mist,0,0
83,Ilulissat,GL,2021-09-15 16:29:29,69.2167,-51.1,32.02,74,75,12.66,light shower snow,0,0
84,Beidao,CN,2021-09-15 16:29:30,34.5686,105.8933,62.11,87,98,2.59,light rain,0,0
85,Namwala,ZM,2021-09-15 16:29:30,-15.7504,26.4384,88.59,19,29,2.17,scattered clouds,0,0
86,Atambua,ID,2021-09-15 16:29:31,-9.1061,124.8925,73.44,86,37,4.45,scattered clouds,0,0
87,San Nicolas,PH,2021-09-15 16:29:31,18.1725,120.5953,80.67,85,81,3.91,broken clouds,0,0
88,Assiniboia,CA,2021-09-15 16:29:31,49.6334,-105.9845,67.82,32,41,21.85,scattered clouds,0,0
89,Baruun-Urt,MN,2021-09-15 16:29:32,46.6806,113.2792,52.07,75,50,6.67,scattered clouds,0,0
90,Nanakuli,US,2021-09-15 16:29:32,21.3906,-158.1547,73.35,88,90,3.44,overcast clouds,0,0
91,Port-Cartier,CA,2021-09-15 16:29:32,50.0334,-66.8654,50.94,97,100,8.5,overcast clouds,0,0
92,Victoria,HK,2021-09-15 16:28:25,22.2855,114.1577,87.96,81,86,9.84,light rain,0,0
93,Flinders,AU,2021-09-15 16:29:33,-34.5833,150.8552,52.81,87,30,8.5,scattered clouds,0,0
94,Nouakchott,MR,2021-09-15 16:29:33,18.0858,-15.9785,98.53,40,62,4.0,broken clouds,0,0
95,Norman Wells,CA,2021-09-15 16:29:34,65.282,-126.8329,44.64,87,75,5.75,light rain,0,0
96,Qaanaaq,GL,2021-09-15 16:29:34,77.484,-69.3632,17.01,73,10,9.75,clear sky,0,0
